iter	RMSE
0	0.9375330203
1	0.9335508489
2	0.9294608092
3	0.9253970854
4	0.9214696143
5	0.9177907053
6	0.914325799
7	0.9108462111
8	0.9072833907
9	0.903919165
10	0.9005498176
11	0.8972299312
12	0.8942777434
13	0.891449107
14	0.8884529069
15	0.8855287307
16	0.8828478422
17	0.8799750307
18	0.8773342748
19	0.8748405361
20	0.8723601921
21	0.8699412546
22	0.8674120768
23	0.8650229179
24	0.8628121416
25	0.8605441668
26	0.8583737349
27	0.8562125904
28	0.8542331402
29	0.852009382
30	0.8499041766
31	0.847900824
32	0.8460076663
33	0.8440621336
34	0.8422138408
35	0.8403585002
36	0.8386693873
37	0.836842209
38	0.8351439185
39	0.8333917818
40	0.8316466785
41	0.8300500816
42	0.828452451
43	0.826804529
44	0.8253529075
45	0.8237967077
46	0.8223173319
47	0.8209375198
48	0.8195570927
49	0.8181718299
50	0.816859339
51	0.815531045
52	0.8143147602
53	0.8129320166
54	0.8118275663
55	0.8105596623
56	0.8093164795
57	0.8081575867
58	0.807013245
59	0.8059586037
60	0.8049282205
61	0.8039060324
62	0.8029146936
63	0.8017652237
64	0.800542256
65	0.799515234
66	0.798561573
67	0.7974724476
68	0.7963866968
69	0.7953870094
70	0.7943106206
71	0.7933504162
72	0.7923205222
73	0.7913521031
74	0.7904286235
75	0.7895111142
76	0.7886250644
77	0.7878352461
78	0.7870299109
79	0.7859648562
80	0.785264353
81	0.7844896994
82	0.7835914496
83	0.7827669024
84	0.782037603
85	0.7813842385
86	0.7803748432
87	0.7795332387
88	0.7787774624
89	0.7779526248
90	0.7771631019
91	0.7763157514
92	0.7756535383
93	0.7749894573
94	0.7742485857
95	0.7735749247
96	0.7729473405
97	0.7723530908
98	0.7717082732
99	0.7708838947
100	0.7700447684
101	0.7693034085
102	0.768503475
103	0.7676216312
104	0.7668507195
105	0.7662764236
106	0.7656112669
107	0.7650772275
108	0.7644076206
109	0.7637660255
110	0.7630833237
111	0.7624738725
112	0.7618820925
113	0.7613073408
114	0.7607397287
115	0.7600720823
116	0.759607089
117	0.759118055
118	0.7585325402
119	0.7579024646
120	0.7571327493
121	0.7566661217
122	0.7560330267
123	0.7555828238
124	0.7550328532
125	0.7545060384
126	0.7539247569
127	0.7533908158
128	0.7528787201
129	0.7522761035
130	0.7517445422
131	0.7510435882
132	0.7504655239
133	0.7499630199
134	0.7495416134
135	0.7490845976
136	0.7486731753
137	0.7481861312
138	0.7476046819
139	0.7470767684
140	0.7464681598
141	0.7459560246
142	0.7454541488
143	0.7448869986
144	0.7443727697
145	0.7438482078
146	0.7434302096
147	0.7427999885
148	0.7422889185
149	0.7417084638
150	0.7412104314
151	0.7408107626
152	0.740315512
153	0.7398421935
154	0.7392665108
155	0.7388282751
156	0.7385349818
157	0.7381104465
158	0.7376294687
159	0.7370886918
160	0.7365521805
161	0.7361324494
162	0.7356659088
163	0.7352210773
164	0.7347862545
165	0.7342994864
166	0.733871015
167	0.7333215405
168	0.7328630935
169	0.7324797797
170	0.7320642057
171	0.7314476674
172	0.7310464906
173	0.7306604416
174	0.730194261
175	0.7297322881
176	0.7292271255
177	0.7288307113
178	0.7284336792
179	0.7279185822
180	0.7274584306
181	0.7269948758
182	0.726456287
183	0.725938621
184	0.7254719414
185	0.7251497017
186	0.7248195267
187	0.7244414605
188	0.7239551109
189	0.7235516919
190	0.7229496195
191	0.7225270549
192	0.7220596355
193	0.7215540638
194	0.7211418535
195	0.720701156
196	0.7202291166
197	0.7198267297
198	0.7194441621
199	0.7190598743
200	0.7186290886
201	0.7181792571
202	0.7177778298
203	0.7172408295
204	0.7168860341
205	0.7164583939
206	0.7160183371
207	0.7156291394
208	0.7152211834
209	0.7147388072
210	0.7143223907
211	0.7139594428
212	0.713558105
213	0.7132171327
214	0.7128200122
215	0.7123518669
216	0.7120505024
217	0.7116349601
218	0.7112106618
219	0.7108333944
220	0.710549986
221	0.7100475886
222	0.7096719046
223	0.7093176142
224	0.7089159904
225	0.7086234547
226	0.7082630786
227	0.7078044977
228	0.7074299923
229	0.7070693763
230	0.7067525636
231	0.7063631685
232	0.7059730974
233	0.7056177572
234	0.705325215
235	0.7049213858
236	0.7043545268
237	0.7039791109
238	0.7035647236
239	0.7032519793
240	0.7028336897
241	0.7023941109
242	0.7020025068
243	0.7015228738
244	0.7011219153
245	0.7006849095
246	0.7002540694
247	0.6997928684
248	0.6994281053
249	0.6990447351
250	0.6985950372
251	0.6982157553
252	0.697868243
253	0.6974369464
254	0.6970072744
255	0.6965227763
256	0.6960658138
257	0.6955304902
258	0.6951643803
259	0.6947533098
260	0.694486635
261	0.6941359193
262	0.6937242863
263	0.693449752
264	0.6930798659
265	0.6927430991
266	0.6923666999
267	0.6918845274
268	0.6914727781
269	0.6910801432
270	0.6907371233
271	0.6904200063
272	0.690079064
273	0.6896523836
274	0.6892337514
275	0.6888052004
276	0.6884486353
277	0.6881006846
278	0.6877428075
279	0.6873661328
280	0.6870240303
281	0.6866573908
282	0.6862145891
283	0.6858003612
284	0.6854233314
285	0.6849904719
286	0.6845279034
287	0.6840972134
288	0.6837489526
289	0.6833937505
290	0.6829916098
291	0.6826422127
292	0.6822283447
293	0.6819441704
294	0.6815703089
295	0.6811786564
296	0.6808874943
297	0.680616702
298	0.6803253233
299	0.6798644645
300	0.6795691228
301	0.6792080924
302	0.6789055128
303	0.6785795807
304	0.6782187195
305	0.6777978762
306	0.6774424849
307	0.6770888782
308	0.6767282082
309	0.6764265885
310	0.6761146035
311	0.6756833684
312	0.6753102586
313	0.6749584285
314	0.6746109266
315	0.6742816152
316	0.6738430478
317	0.6735312435
318	0.673177033
319	0.6729087735
320	0.6726017387
321	0.672313205
322	0.671884593
323	0.6715332707
324	0.6711853777
325	0.6708497022
326	0.6704020676
327	0.6700317983
328	0.6696739626
329	0.6694461184
330	0.6690715251
331	0.6686515212
332	0.6682930926
333	0.667855613
334	0.6674086041
335	0.6670601459
336	0.6666615316
337	0.6663194245
338	0.6659577122
339	0.6656456129
340	0.6651313702
341	0.6648052709
342	0.6645197935
343	0.6642882459
344	0.6640014188
345	0.6636091099
346	0.6632187532
347	0.6628536055
348	0.6624340818
349	0.6621225831
350	0.6617907219
351	0.6614035246
352	0.6610912449
353	0.6607502444
354	0.6604481049
355	0.660112665
356	0.6598775977
357	0.6595328109
358	0.6591907572
359	0.658877824
360	0.6586352733
361	0.6583084779
362	0.6580303727
363	0.6575774026
364	0.6572111018
365	0.656846579
366	0.6565831991
367	0.6562726683
368	0.6558120314
369	0.6554714131
370	0.6550466895
371	0.6548319998
372	0.6545513233
373	0.6542944823
374	0.653958997
375	0.6535690028
376	0.6531646718
377	0.6528663762
378	0.6524311755
379	0.6520898396
380	0.651863215
381	0.651447307
382	0.6510906565
383	0.6507629737
384	0.6505070638
385	0.6500797978
386	0.6496856712
387	0.6493976576
388	0.6491280961
389	0.648703585
390	0.6484249497
391	0.6479490128
392	0.6475479591
393	0.6472473516
394	0.6469392078
395	0.6466100001
396	0.6463240155
397	0.6459997601
398	0.6457559261
399	0.6454722361
400	0.6451276218
401	0.6449244949
402	0.6445680482
403	0.6441560966
404	0.6437674704
405	0.6434683597
406	0.6431899617
407	0.6429351133
408	0.6426958653
409	0.6423097005
410	0.6419634392
411	0.6415595318
412	0.6412219018
413	0.6408860749
414	0.6405015379
415	0.640253017
416	0.6399478128
417	0.6394648285
418	0.6392813653
419	0.6389206495
420	0.6385708429
421	0.6382843928
422	0.6380575585
423	0.6377020973
424	0.6374534552
425	0.6371632331
426	0.6368349779
427	0.63653151
428	0.6361628133
429	0.6357933139
430	0.6354815626
431	0.635031526
432	0.6347814277
433	0.6345371816
434	0.6343263015
435	0.6339996324
436	0.6337253961
437	0.6334989589
438	0.6332834153
439	0.6330053204
440	0.6326807991
441	0.6323337953
442	0.6321134513
443	0.631833605
444	0.6315050537
445	0.6311390424
446	0.6308622468
447	0.6304375702
448	0.6301067411
449	0.6298616385
450	0.6295291881
451	0.6292809378
452	0.6289892738
453	0.6286177845
454	0.6283435047
455	0.6278973468
456	0.6276570604
457	0.627282421
458	0.627001301
459	0.6266151266
460	0.6263508579
461	0.6260360423
462	0.6257198459
463	0.6253495897
464	0.6249886978
465	0.6246706424
466	0.624373853
467	0.6240335757
468	0.6236733315
469	0.6234414421
470	0.6230738026
471	0.6228084232
472	0.6224921561
473	0.6221682726
474	0.6219706009
475	0.6217341235
476	0.621473279
477	0.6212520435
478	0.6208858863
479	0.6206110218
480	0.6203758626
481	0.6200550998
482	0.6196552984
483	0.6193930791
484	0.6191170786
485	0.6188456628
486	0.6185710758
487	0.6183525133
488	0.6180751002
489	0.6177846004
490	0.6173695407
491	0.6170695035
492	0.6167706134
493	0.6164386015
494	0.6161399602
495	0.6159314751
496	0.6155725707
497	0.6152577955
498	0.6149497407
499	0.6146721158
500	0.6143297235
501	0.6141232211
502	0.6137976528
503	0.6135175169
504	0.6132680134
505	0.6129338121
506	0.6126965299
507	0.6124314109
508	0.612040059
509	0.6117217632
510	0.6115314941
511	0.6112437425
512	0.6110100127
513	0.6107866662
514	0.6104952577
515	0.6102712426
516	0.609922884
517	0.6096970036
518	0.6094435592
519	0.60910913
520	0.6088054229
521	0.6085104176
522	0.6082370786
523	0.6080103577
524	0.6077911575
525	0.6074602932
526	0.6070783645
527	0.6069194918
528	0.6067165301
529	0.6063910113
530	0.6060435377
531	0.6057625833
532	0.6054383527
533	0.6051938018
534	0.6048318895
535	0.6045080483
536	0.6042164401
537	0.6039218613
538	0.6036714386
539	0.6033793181
540	0.6031770541
541	0.6028821564
542	0.6026517465
543	0.6022708762
544	0.6019719386
545	0.601662113
546	0.6014398685
547	0.6013007277
548	0.6009328144
549	0.6006664864
550	0.6004035101
551	0.6000798829
552	0.5997780623
553	0.5995077191
554	0.5991925991
555	0.5989322911
556	0.5985739074
557	0.5983585131
558	0.5981301702
559	0.5977869342
560	0.5975224728
561	0.5971619893
562	0.5969097394
563	0.5965858538
564	0.5963581423
565	0.59601293
566	0.5958045593
567	0.5954630168
568	0.5952750973
569	0.5949157689
570	0.5946188818
571	0.5943776014
572	0.5941500571
573	0.5939529807
574	0.5936175017
575	0.5934316032
576	0.5932116254
577	0.5929102614
578	0.5926977793
579	0.5924670624
580	0.5921826352
581	0.5918295972
582	0.59163106
583	0.5912041363
584	0.5909658959
585	0.590563792
586	0.5902943574
587	0.5899149722
588	0.5896424808
589	0.5893817658
590	0.589060704
591	0.5887772574
592	0.5885532724
593	0.588288063
594	0.5881178876
595	0.5879831513
596	0.5877043638
597	0.5873672833
598	0.5871548188
599	0.5868114593
600	0.5864647628
601	0.5862552749
602	0.585962805
603	0.5855907029
604	0.5853760922
605	0.5851714993
606	0.5849445475
607	0.5845135197
608	0.5843583442
609	0.5840866601
610	0.583782119
611	0.5835145738
612	0.5832365526
613	0.5830194561
614	0.5828016085
615	0.5825380274
616	0.5823250028
617	0.5821054413
618	0.5818570139
619	0.5814912694
620	0.581126527
621	0.5808601964
622	0.5805340292
623	0.5803044224
624	0.5800741354
625	0.5797515688
626	0.5794905045
627	0.5792037795
628	0.5789814883
629	0.5787434474
630	0.5784917474
631	0.5781847379
632	0.5779060396
633	0.5775648751
634	0.5772345902
635	0.5769113951
636	0.5765564871
637	0.5763688134
638	0.5761011026
639	0.5759819231
640	0.5756987093
641	0.5754848782
642	0.5752871792
643	0.5749627479
644	0.574727347
645	0.5744843703
646	0.5742415174
647	0.5739611029
648	0.573731362
649	0.5734963923
