iter	Passed	Remaining
0	209	208991
1	279	139576
2	357	118743
3	424	105600
4	492	97960
5	554	91822
6	619	87928
7	687	85201
8	756	83307
9	819	81170
10	885	79635
11	956	78725
12	1021	77573
13	1089	76716
14	1155	75869
15	1224	75306
16	1296	74962
17	1369	74696
18	1436	74188
19	1500	73532
20	1566	73036
21	1635	72684
22	1704	72401
23	1788	72720
24	1848	72106
25	1922	72009
26	2000	72079
27	2068	71798
28	2135	71510
29	2210	71482
30	2286	71463
31	2360	71415
32	2431	71248
33	2503	71118
34	2577	71052
35	2651	70992
36	2720	70806
37	2798	70841
38	2874	70832
39	2950	70812
40	3022	70696
41	3084	70349
42	3150	70125
43	3218	69935
44	3288	69787
45	3357	69626
46	3428	69515
47	3497	69374
48	3573	69363
49	3652	69397
50	3721	69254
51	3792	69133
52	3859	68952
53	3932	68890
54	3994	68638
55	4062	68478
56	4130	68338
57	4203	68268
58	4283	68320
59	4352	68192
60	4426	68145
61	4496	68026
62	4562	67852
63	4638	67838
64	4714	67818
65	4784	67702
66	4853	67581
67	4926	67527
68	5005	67534
69	5076	67440
70	5151	67401
71	5225	67356
72	5306	67380
73	5387	67410
74	5457	67315
75	5530	67236
76	5602	67153
77	5667	66997
78	5738	66897
79	5818	66908
80	5877	66679
81	5949	66609
82	6021	66524
83	6095	66473
84	6165	66368
85	6226	66170
86	6310	66220
87	6390	66225
88	6464	66165
89	6537	66102
90	6608	66014
91	6688	66011
92	6753	65867
93	6820	65733
94	6887	65615
95	6960	65547
96	7027	65425
97	7093	65289
98	7169	65249
99	7250	65257
100	7330	65245
101	7398	65139
102	7481	65158
103	7567	65197
104	7642	65143
105	7702	64959
106	7770	64849
107	7832	64691
108	7900	64584
109	7968	64469
110	8037	64369
111	8104	64260
112	8170	64135
113	8233	63992
114	8300	63876
115	8376	63833
116	8441	63706
117	8519	63679
118	8586	63572
119	8657	63489
120	8735	63459
121	8796	63307
122	8861	63185
123	8921	63025
124	8985	62900
125	9048	62768
126	9122	62705
127	9188	62598
128	9251	62463
129	9322	62387
130	9392	62304
131	9471	62279
132	9545	62225
133	9613	62127
134	9672	61977
135	9737	61861
136	9798	61723
137	9861	61598
138	9930	61513
139	10003	61449
140	10076	61389
141	10146	61307
142	10213	61207
143	10290	61169
144	10362	61103
145	10439	61062
146	10506	60966
147	10586	60946
148	10660	60888
149	10737	60847
150	10811	60786
151	10878	60687
152	10950	60618
153	11025	60569
154	11104	60539
155	11174	60455
156	11234	60321
157	11304	60240
158	11377	60176
159	11455	60140
160	11535	60114
161	11607	60045
162	11674	59949
163	11745	59872
164	11816	59797
165	11892	59749
166	11967	59695
167	12044	59650
168	12122	59610
169	12191	59522
170	12261	59440
171	12350	59452
172	12426	59401
173	12515	59412
174	12586	59335
175	12663	59287
176	12746	59267
177	12823	59220
178	12892	59130
179	12967	59075
180	13041	59011
181	13109	58922
182	13189	58882
183	13268	58845
184	13349	58808
185	13412	58699
186	13480	58607
187	13553	58540
188	13632	58495
189	13703	58421
190	13787	58397
191	13857	58318
192	13929	58243
193	14007	58195
194	14079	58122
195	14149	58043
196	14226	57991
197	14301	57930
198	14372	57852
199	14447	57789
